datetime	cnt	tL	X	Y	Z	tP8
2004-06-27 02:00:00	25.0	44.94875	16.292749999999998	-35.73675	-10.879249999999999	1.08023e-05
2004-06-27 03:00:00	25.0	44.62366666666667	15.444083333333333	-32.918416666666666	-10.016	1.1595991666666665e-05
2004-06-27 04:00:00	23.25	44.13591666666667	14.202166666666665	-28.845416666666665	-8.768500000000001	1.1496291666666667e-05
2004-06-27 05:00:00	24.416666666666668	43.64575	12.825249999999999	-24.426916666666667	-7.41575	1.0120716666666668e-05
2004-06-27 06:00:00	25.0	43.154500000000006	11.317666666666668	-19.743666666666666	-5.982666666666667	1.0134608333333333e-05
2004-06-27 07:00:00	23.916666666666668	42.662416666666665	9.665750000000001	-14.867666666666667	-4.49225	1.3058458333333334e-05
2004-06-27 08:00:00	25.0	42.167833333333334	7.554749999999999	-9.211416666666667	-2.7655833333333333	1.1096441666666668e-05
2004-06-27 09:00:00	25.0	41.67208333333333	3.8257499999999998	-2.233	-0.64825	9.12485e-06
2004-06-27 10:00:00	25.0	41.17491666666667	-4.605916666666666	-2.6277500000000003	-0.8903333333333334	1.0405266666666667e-05
2004-06-27 11:00:00	25.0	40.67608333333333	-7.694166666666667	-8.750333333333332	-2.842333333333333	8.49365e-06
2004-06-27 12:00:00	25.0	40.175666666666665	-9.33075	-13.572666666666665	-4.366833333333333	1.0230824999999999e-05
2004-06-27 13:00:00	25.0	39.67366666666667	-10.503583333333333	-17.745	-5.681	1.1715774999999999e-05
2004-06-27 14:00:00	25.0	39.17	-11.426	-21.498583333333332	-6.859916666666667	8.872333333333333e-06
2004-06-27 15:00:00	25.0	38.66458333333333	-12.186750000000002	-24.948166666666665	-7.9415000000000004	8.71625e-06
2004-06-27 16:00:00	25.0	38.1575	-12.833833333333333	-28.161916666666666	-8.947916666666666	1.2316941666666667e-05
2004-06-27 17:00:00	25.0	37.648500000000006	17.570416666666667	-17.980083333333333	-3.3249166666666667	1.169575e-05
2004-06-27 18:00:00	25.0	37.13783333333333	21.35891666666667	-12.851333333333335	-1.5029166666666667	9.503416666666666e-06
2004-06-27 19:00:00	25.0	36.62508333333333	19.75016666666667	-9.247416666666668	-0.6031666666666666	1.1336925e-05
2004-06-27 20:00:00	25.0	36.1105	17.6275	-5.594083333333334	0.18441666666666667	1.1589483333333333e-05
2004-06-27 21:00:00	25.0	35.59408333333334	14.820333333333332	-1.9472500000000001	0.7919166666666667	1.0405341666666667e-05
2004-06-27 22:00:00	25.0	35.075583333333334	10.986333333333334	1.7904166666666665	1.332	1.1325274999999998e-05
2004-06-27 23:00:00	24.916666666666668	34.554916666666664	5.394416666666667	5.02975	1.6090833333333334	1.3038166666666667e-05
2004-06-28 00:00:00	24.166666666666668	34.03225	-1.9600833333333334	5.560833333333334	1.1139166666666667	1.27067e-05
2004-06-28 01:00:00	23.5	33.50791666666667	-8.056416666666667	2.228666666666667	-0.16558333333333333	1.149375e-05
2004-06-28 02:00:00	25.0	32.97983333333333	-11.671333333333331	-2.4338333333333333	-1.5426666666666666	9.395558333333334e-06
2004-06-28 03:00:00	25.0	32.449999999999996	-13.816333333333333	-7.005166666666667	-2.775	1.2899891666666665e-05
2004-06-28 04:00:00	25.0	31.917916666666667	-15.124583333333334	-11.189416666666666	-3.8476666666666666	1.198645e-05
2004-06-28 05:00:00	24.416666666666668	31.383	-15.929833333333335	-14.967166666666666	-4.784666666666666	1.2079024999999999e-05
2004-06-28 06:00:00	25.0	30.846083333333336	-16.41975	-18.470666666666666	-5.6315833333333325	9.755991666666666e-06
2004-06-28 07:00:00	24.0	30.352300000000003	-8.763300000000001	-20.413800000000002	-5.3941	1.2502929999999999e-05
2004-06-29 00:00:00	46.583333333333336	20.607	21.66825	-14.306666666666667	-1.2806666666666666	1.0866883333333333e-05
2004-06-29 01:00:00	50.0	19.998583333333332	18.292583333333333	-7.72075	-0.16658333333333333	1.0540683333333334e-05
2004-06-29 02:00:00	50.0	19.382749999999998	12.448749999999999	-0.6574166666666666	0.3521666666666667	1.090435e-05
2004-06-29 03:00:00	49.916666666666664	18.761083333333335	0.4475	3.7006666666666668	0.3365833333333333	1.1817025e-05
2004-06-29 04:00:00	50.0	18.132749999999998	-9.090083333333334	-5.512166666666666	-0.7809166666666667	1.2121733333333335e-05
2004-06-29 05:00:00	50.0	17.497	-10.29975	-15.1745	-1.6623333333333334	1.09882e-05
2004-06-29 06:00:00	50.0	16.853833333333334	-9.619583333333333	-22.56375	-2.29225	1.0435208333333335e-05
2004-06-29 07:00:00	50.0	16.202916666666667	15.447000000000001	-17.32825	-0.996	1.0239941666666667e-05
2004-06-29 08:00:00	50.0	15.543333333333335	18.961333333333332	-9.4645	-0.19366666666666665	9.867191666666666e-06
2004-06-29 09:00:00	50.0	14.874666666666668	13.921750000000001	-2.4648333333333334	0.24058333333333334	1.1448216666666667e-05
2004-06-29 10:00:00	50.0	14.19625	3.56375	3.780666666666667	0.4359166666666667	1.1201691666666666e-05
2004-06-29 11:00:00	50.0	13.507416666666666	-8.339166666666666	-2.80025	-0.50875	1.1045491666666668e-05
2004-06-29 12:00:00	50.0	12.806916666666666	-10.838333333333333	-12.967916666666667	-1.4525	1.1114575e-05
2004-06-29 13:00:00	50.0	12.09375	-10.66925	-20.742083333333333	-2.10575	1.0381075e-05
2004-06-29 14:00:00	50.0	11.366916666666667	8.730166666666667	-19.758083333333335	-1.3735833333333334	1.0856141666666666e-05
2004-06-29 15:00:00	50.0	10.625	19.567083333333333	-11.026416666666668	-0.2744166666666667	1.2088341666666668e-05
