,,,SSR-A_SBE,SSR-A_DBE,SSR-B_SBE,SSR-B_DBE,
1849605205,6E3EBC55,2016-224T10,34,0,12,0,
1849608805,6E3ECA65,2016-224T11,28,0,14,0,
1849612405,6E3ED875,2016-224T12,28,0,12,0,
1849616005,6E3EE685,2016-224T13,27,0,14,0,
1849619605,6E3EF495,2016-224T14,34,0,10,0,
1849623205,6E3F02A5,2016-224T15,37,0,11,0,
1849626805,6E3F10B5,2016-224T16,29,1,11,0,
1849630405,6E3F1EC5,2016-224T17,35,0,8,0,
1849634005,6E3F2CD5,2016-224T18,30,0,11,0,
1849637605,6E3F3AE5,2016-224T19,35,0,14,0,
1849641205,6E3F48F5,2016-224T20,28,1,10,0,
1849644805,6E3F5705,2016-224T21,32,0,10,1,
1849648405,6E3F6515,2016-224T22,34,0,11,0,
1849652005,6E3F7325,2016-224T23,35,0,24,0,
1849655605,6E3F8135,2016-225T00,42,0,19,0,
1849659205,6E3F8F45,2016-225T01,30,1,11,0,
1849662805,6E3F9D55,2016-225T02,35,2,15,0,
1849666405,6E3FAB65,2016-225T03,44,0,14,0,
1849670005,6E3FB975,2016-225T04,31,1,14,0,
1849673605,6E3FC785,2016-225T05,30,0,12,0,
1849677205,6E3FD595,2016-225T06,48,0,9,0,
1849680805,6E3FE3A5,2016-225T07,39,0,18,0,
1849684405,6E3FF1B5,2016-225T08,25,0,19,1,
1849688005,6E3FFFC5,2016-225T09,41,0,12,0,
1849691605,6E400DD5,2016-225T10,34,1,15,0,
1849695205,6E401BE5,2016-225T11,31,0,19,0,
1849698805,6E4029F5,2016-225T12,32,0,14,1,
1849702405,6E403805,2016-225T13,32,0,17,0,
1849706005,6E404615,2016-225T14,26,0,8,0,
1849709605,6E405425,2016-225T15,33,0,16,0,
1849713205,6E406235,2016-225T16,36,0,12,0,
1849716805,6E407045,2016-225T17,38,0,9,0,
1849720405,6E407E55,2016-225T18,30,0,11,0,
1849724005,6E408C65,2016-225T19,34,0,27,1,
1849727605,6E409A75,2016-225T20,34,0,17,0,
1849731205,6E40A885,2016-225T21,29,0,12,0,
1849734805,6E40B695,2016-225T22,34,0,11,0,
1849738405,6E40C4A5,2016-225T23,36,0,23,0,
1849742005,6E40D2B5,2016-226T00,38,0,27,0,
1849745605,6E40E0C5,2016-226T01,34,0,25,0,
1849749205,6E40EED5,2016-226T02,33,0,25,0,
1849752805,6E40FCE5,2016-226T03,31,0,21,0,
1849756405,6E410AF5,2016-226T04,36,0,26,0,
1849760005,6E411905,2016-226T05,31,0,27,0,
1849763605,6E412715,2016-226T06,31,0,37,0,
1849767205,6E413525,2016-226T07,35,0,28,0,
1849770805,6E414335,2016-226T08,32,1,26,0,
1849774405,6E415145,2016-226T09,34,0,26,0,
1849778005,6E415F55,2016-226T10,29,0,18,0,
1849781605,6E416D65,2016-226T11,34,1,31,1,
1849785205,6E417B75,2016-226T12,33,0,23,0,
1849788805,6E418985,2016-226T13,29,0,34,0,
1849792405,6E419795,2016-226T14,31,0,29,0,APOAPSIS
1849796005,6E41A5A5,2016-226T15,41,1,27,0,
1849799605,6E41B3B5,2016-226T16,35,0,31,0,
1849803205,6E41C1C5,2016-226T17,35,0,23,0,
1849806805,6E41CFD5,2016-226T18,27,0,27,0,
1849810405,6E41DDE5,2016-226T19,36,0,26,0,
1849814005,6E41EBF5,2016-226T20,34,0,21,0,
1849817605,6E41FA05,2016-226T21,35,0,22,0,
1849821205,6E420815,2016-226T22,30,0,29,0,
1849824805,6E421625,2016-226T23,29,0,31,0,
1849828405,6E422435,2016-227T00,33,1,21,0,
1849832005,6E423245,2016-227T01,34,0,32,0,
1849835605,6E424055,2016-227T02,30,1,33,2,
1849839205,6E424E65,2016-227T03,34,0,37,0,
1849842805,6E425C75,2016-227T04,39,0,24,0,
1849846405,6E426A85,2016-227T05,36,0,25,1,
1849850005,6E427895,2016-227T06,35,0,26,0,
1849853605,6E4286A5,2016-227T07,39,0,20,0,
1849857205,6E4294B5,2016-227T08,37,0,35,1,
1849860805,6E42A2C5,2016-227T09,35,1,37,0,
1849864405,6E42B0D5,2016-227T10,39,0,28,0,
1849868005,6E42BEE5,2016-227T11,37,0,24,0,
1849871605,6E42CCF5,2016-227T12,35,0,29,0,
1849875205,6E42DB05,2016-227T13,38,0,24,0,
1849878805,6E42E915,2016-227T14,30,0,16,0,
1849882405,6E42F725,2016-227T15,39,0,8,0,
1849886005,6E430535,2016-227T16,29,0,15,0,
1849889605,6E431345,2016-227T17,36,0,11,0,
1849893205,6E432155,2016-227T18,32,0,21,0,
1849896805,6E432F65,2016-227T19,35,0,15,1,
1849900405,6E433D75,2016-227T20,39,0,12,0,
1849904005,6E434B85,2016-227T21,35,0,8,0,
1849907605,6E435995,2016-227T22,35,0,16,1,
1849911205,6E4367A5,2016-227T23,36,0,14,0,
1849914805,6E4375B5,2016-228T00,33,0,14,1,
1849918405,6E4383C5,2016-228T01,31,0,12,1,
1849922005,6E4391D5,2016-228T02,29,0,9,1,
1849925605,6E439FE5,2016-228T03,35,0,18,0,
1849929205,6E43ADF5,2016-228T04,39,0,12,0,
1849932805,6E43BC05,2016-228T05,30,0,13,0,
1849936405,6E43CA15,2016-228T06,32,0,15,0,
1849940005,6E43D825,2016-228T07,35,0,14,0,
1849943605,6E43E635,2016-228T08,41,0,16,0,
1849947205,6E43F445,2016-228T09,30,0,19,1,
1849950805,6E440255,2016-228T10,32,0,11,0,
1849954405,6E441065,2016-228T11,41,3,10,0,
1849958005,6E441E75,2016-228T12,32,1,19,1,
1849961605,6E442C85,2016-228T13,32,0,17,0,
1849965205,6E443A95,2016-228T14,34,1,21,0,
1849968805,6E4448A5,2016-228T15,32,0,18,0,
1849972405,6E4456B5,2016-228T16,34,0,14,0,
1849976005,6E4464C5,2016-228T17,33,0,15,0,
1849979605,6E4472D5,2016-228T18,29,0,18,0,
1849983205,6E4480E5,2016-228T19,33,0,13,0,
1849986805,6E448EF5,2016-228T20,31,1,18,0,
1849990405,6E449D05,2016-228T21,36,0,12,0,
1849994005,6E44AB15,2016-228T22,35,0,16,0,
1849997605,6E44B925,2016-228T23,29,0,12,0,
1850001205,6E44C735,2016-229T00,33,0,25,0,
1850004805,6E44D545,2016-229T01,42,0,18,0,
1850008405,6E44E355,2016-229T02,39,0,13,0,
1850012005,6E44F165,2016-229T03,27,0,7,0,
1850015605,6E44FF75,2016-229T04,33,0,22,0,
1850019205,6E450D85,2016-229T05,37,0,18,0,
1850022805,6E451B95,2016-229T06,15,0,2,0,
1850026405,6E4529A5,2016-229T07,31,1,21,1,
1850030005,6E4537B5,2016-229T08,35,0,14,0,
1850033605,6E4545C5,2016-229T09,32,0,11,0,
1850037205,6E4553D5,2016-229T10,42,0,17,0,
1850040805,6E4561E5,2016-229T11,33,0,23,0,
1850044405,6E456FF5,2016-229T12,32,0,17,0,
1850048005,6E457E05,2016-229T13,36,0,13,0,
1850051605,6E458C15,2016-229T14,32,0,19,0,
1850055205,6E459A25,2016-229T15,42,0,15,0,
1850058805,6E45A835,2016-229T16,40,0,8,0,
1850062405,6E45B645,2016-229T17,31,0,16,0,
1850066005,6E45C455,2016-229T18,37,0,20,0,
1850069605,6E45D265,2016-229T19,31,0,15,1,
1850073205,6E45E075,2016-229T20,35,0,15,0,
1850076805,6E45EE85,2016-229T21,35,0,20,1,
1850080405,6E45FC95,2016-229T22,40,1,14,0,
1850084005,6E460AA5,2016-229T23,30,0,15,0,
1850087605,6E4618B5,2016-230T00,32,0,36,0,
1850091205,6E4626C5,2016-230T01,38,0,24,0,
1850094805,6E4634D5,2016-230T02,29,1,18,0,
1850098405,6E4642E5,2016-230T03,27,0,18,0,
1850102005,6E4650F5,2016-230T04,36,0,16,0,
1850105605,6E465F05,2016-230T05,33,0,19,0,
1850109205,6E466D15,2016-230T06,32,0,29,0,
1850112805,6E467B25,2016-230T07,28,0,20,0,
1850116405,6E468935,2016-230T08,35,0,19,0,
1850120005,6E469745,2016-230T09,25,0,21,0,
1850123605,6E46A555,2016-230T10,32,0,18,1,
1850127205,6E46B365,2016-230T11,31,0,20,0,
1850130805,6E46C175,2016-230T12,30,0,16,0,
1850134405,6E46CF85,2016-230T13,30,0,19,0,
1850138005,6E46DD95,2016-230T14,30,0,17,0,
1850141605,6E46EBA5,2016-230T15,28,0,23,0,
1850145205,6E46F9B5,2016-230T16,26,0,18,0,
1850148805,6E4707C5,2016-230T17,29,0,25,0,
1850152405,6E4715D5,2016-230T18,25,0,21,0,
1850156005,6E4723E5,2016-230T19,22,0,24,0,
1850159605,6E4731F5,2016-230T20,32,0,16,0,
1850163205,6E474005,2016-230T21,25,0,14,0,
1850166805,6E474E15,2016-230T22,34,1,15,0,
1850170405,6E475C25,2016-230T23,22,0,17,0,
1850174005,6E476A35,2016-231T00,24,0,24,0,
1850177605,6E477845,2016-231T01,33,0,20,0,
1850181205,6E478655,2016-231T02,31,0,20,0,
1850184805,6E479465,2016-231T03,28,0,17,0,
1850188405,6E47A275,2016-231T04,28,0,18,0,
1850192005,6E47B085,2016-231T05,28,0,23,0,
1850195605,6E47BE95,2016-231T06,29,0,16,0,
1850199205,6E47CCA5,2016-231T07,29,0,18,0,
1850202805,6E47DAB5,2016-231T08,30,0,23,0,
1850206405,6E47E8C5,2016-231T09,25,0,19,0,
1850210005,6E47F6D5,2016-231T10,26,0,14,0,
1850213605,6E4804E5,2016-231T11,22,0,15,0,
1850217205,6E4812F5,2016-231T12,27,1,13,0,
1850220805,6E482105,2016-231T13,24,0,16,0,
1850224405,6E482F15,2016-231T14,32,0,21,0,
1850228005,6E483D25,2016-231T15,23,0,14,0,
1850231605,6E484B35,2016-231T16,32,0,8,0,
1850235205,6E485945,2016-231T17,30,0,12,0,
1850238805,6E486755,2016-231T18,27,0,16,1,
1850242405,6E487565,2016-231T19,32,1,15,0,
1850246005,6E488375,2016-231T20,33,0,17,1,
1850249605,6E489185,2016-231T21,23,0,13,0,
1850253205,6E489F95,2016-231T22,34,0,16,0,
1850256805,6E48ADA5,2016-231T23,26,0,12,0,
1850260405,6E48BBB5,2016-232T00,27,0,20,0,
1850264005,6E48C9C5,2016-232T01,25,0,18,0,
1850267605,6E48D7D5,2016-232T02,34,1,12,0,
1850271205,6E48E5E5,2016-232T03,28,0,16,0,
1850274805,6E48F3F5,2016-232T04,34,1,16,0,
1850278405,6E490205,2016-232T05,32,0,16,0,
1850282005,6E491015,2016-232T06,25,0,13,0,
1850285605,6E491E25,2016-232T07,29,0,20,0,
1850289205,6E492C35,2016-232T08,26,0,25,1,
1850292805,6E493A45,2016-232T09,25,0,26,0,
1850296405,6E494855,2016-232T10,25,0,17,0,
1850300005,6E495665,2016-232T11,24,0,32,0,
1850303605,6E496475,2016-232T12,26,0,12,0,
1850307205,6E497285,2016-232T13,29,0,31,0,PERIAPSIS
1850310805,6E498095,2016-232T14,28,0,19,0,
1850314405,6E498EA5,2016-232T15,27,0,18,1,
1850318005,6E499CB5,2016-232T16,28,0,20,0,
1850321605,6E49AAC5,2016-232T17,30,1,24,0,
1850325205,6E49B8D5,2016-232T18,24,0,21,0,
1850328805,6E49C6E5,2016-232T19,19,0,18,0,
1850332405,6E49D4F5,2016-232T20,28,0,21,0,
1850336005,6E49E305,2016-232T21,27,0,17,0,
1850339605,6E49F115,2016-232T22,32,0,15,1,
1850343205,6E49FF25,2016-232T23,36,0,19,0,
1850346805,6E4A0D35,2016-233T00,24,0,20,0,
1850350405,6E4A1B45,2016-233T01,25,0,25,0,
1850354005,6E4A2955,2016-233T02,28,0,17,0,
1850357605,6E4A3765,2016-233T03,23,0,20,0,
1850361205,6E4A4575,2016-233T04,30,0,13,0,
1850364805,6E4A5385,2016-233T05,28,0,23,0,
1850368405,6E4A6195,2016-233T06,23,0,24,0,
1850372005,6E4A6FA5,2016-233T07,25,0,24,0,
1850375605,6E4A7DB5,2016-233T08,32,0,26,0,
1850379205,6E4A8BC5,2016-233T09,24,0,19,0,
1850382805,6E4A99D5,2016-233T10,37,0,26,0,
1850386405,6E4AA7E5,2016-233T11,30,0,22,0,
1850390005,6E4AB5F5,2016-233T12,24,0,14,0,
1850393605,6E4AC405,2016-233T13,22,1,20,0,
1850397205,6E4AD215,2016-233T14,23,0,25,0,
1850400805,6E4AE025,2016-233T15,28,0,23,0,
1850404405,6E4AEE35,2016-233T16,19,0,19,0,
1850408005,6E4AFC45,2016-233T17,30,0,16,0,
1850411605,6E4B0A55,2016-233T18,26,0,23,0,
1850415205,6E4B1865,2016-233T19,29,0,18,0,
1850418805,6E4B2675,2016-233T20,29,0,19,1,
1850422405,6E4B3485,2016-233T21,24,0,14,0,
1850426005,6E4B4295,2016-233T22,33,0,29,0,
1850429605,6E4B50A5,2016-233T23,32,0,24,0,
1850433205,6E4B5EB5,2016-234T00,31,1,18,1,
1850436805,6E4B6CC5,2016-234T01,24,0,27,0,
1850440405,6E4B7AD5,2016-234T02,22,0,24,0,
1850444005,6E4B88E5,2016-234T03,16,0,19,0,
1850447605,6E4B96F5,2016-234T04,25,0,17,0,
1850451205,6E4BA505,2016-234T05,35,0,20,0,
1850454805,6E4BB315,2016-234T06,25,0,23,0,
1850458405,6E4BC125,2016-234T07,26,0,19,0,
1850462005,6E4BCF35,2016-234T08,22,0,27,0,
1850465605,6E4BDD45,2016-234T09,31,1,38,2,
1850469205,6E4BEB55,2016-234T10,30,0,20,0,
1850472805,6E4BF965,2016-234T11,23,0,16,0,
1850476405,6E4C0775,2016-234T12,26,0,14,0,
1850480005,6E4C1585,2016-234T13,26,1,20,0,
1850483605,6E4C2395,2016-234T14,28,0,14,0,
1850487205,6E4C31A5,2016-234T15,32,1,20,0,
1850490805,6E4C3FB5,2016-234T16,36,2,23,0,
1850494405,6E4C4DC5,2016-234T17,32,0,24,0,
1850498005,6E4C5BD5,2016-234T18,27,0,24,0,
1850501605,6E4C69E5,2016-234T19,26,0,19,0,
1850505205,6E4C77F5,2016-234T20,30,1,22,1,
1850508805,6E4C8605,2016-234T21,23,1,26,0,
1850512405,6E4C9415,2016-234T22,26,0,21,0,
1850516005,6E4CA225,2016-234T23,20,1,17,0,
1850519605,6E4CB035,2016-235T00,23,0,17,1,
1850523205,6E4CBE45,2016-235T01,25,1,23,0,
1850526805,6E4CCC55,2016-235T02,30,0,13,0,
1850530405,6E4CDA65,2016-235T03,19,0,18,0,
1850534005,6E4CE875,2016-235T04,32,0,18,0,
1850537605,6E4CF685,2016-235T05,33,1,16,0,
1850541205,6E4D0495,2016-235T06,28,0,15,0,
1850544805,6E4D12A5,2016-235T07,21,0,19,0,
1850548405,6E4D20B5,2016-235T08,22,0,24,0,
1850552005,6E4D2EC5,2016-235T09,24,0,19,0,
1850555605,6E4D3CD5,2016-235T10,32,0,21,0,
1850559205,6E4D4AE5,2016-235T11,24,0,19,0,
1850562805,6E4D58F5,2016-235T12,26,0,17,0,
1850566405,6E4D6705,2016-235T13,26,0,27,0,
1850570005,6E4D7515,2016-235T14,30,0,18,0,
1850573605,6E4D8325,2016-235T15,30,0,11,0,
1850577205,6E4D9135,2016-235T16,26,0,17,0,
1850580805,6E4D9F45,2016-235T17,26,0,23,1,
1850584405,6E4DAD55,2016-235T18,21,1,21,0,
1850588005,6E4DBB65,2016-235T19,26,0,26,0,
1850591605,6E4DC975,2016-235T20,28,0,22,0,
1850595205,6E4DD785,2016-235T21,31,0,19,0,
1850598805,6E4DE595,2016-235T22,26,0,16,0,
1850602405,6E4DF3A5,2016-235T23,25,0,26,0,
1850606005,6E4E01B5,2016-236T00,27,0,20,0,
1850609605,6E4E0FC5,2016-236T01,29,1,24,0,
1850613205,6E4E1DD5,2016-236T02,31,0,23,0,
1850616805,6E4E2BE5,2016-236T03,22,0,17,0,
1850620405,6E4E39F5,2016-236T04,24,0,18,0,
1850624005,6E4E4805,2016-236T05,31,0,26,1,
1850627605,6E4E5615,2016-236T06,25,0,25,0,
1850631205,6E4E6425,2016-236T07,31,0,27,0,
1850634805,6E4E7235,2016-236T08,21,0,29,0,
1850638405,6E4E8045,2016-236T09,31,0,20,0,
1850642005,6E4E8E55,2016-236T10,21,0,21,1,
1850645605,6E4E9C65,2016-236T11,21,0,22,0,
1850649205,6E4EAA75,2016-236T12,24,0,15,0,
1850652805,6E4EB885,2016-236T13,17,0,21,0,
1850656405,6E4EC695,2016-236T14,24,0,27,0,
1850660005,6E4ED4A5,2016-236T15,24,0,16,0,
1850663605,6E4EE2B5,2016-236T16,21,2,17,0,
1850667205,6E4EF0C5,2016-236T17,20,0,15,0,
1850670805,6E4EFED5,2016-236T18,18,0,22,0,
1850674405,6E4F0CE5,2016-236T19,21,0,18,1,
1850678005,6E4F1AF5,2016-236T20,19,0,21,0,
1850681605,6E4F2905,2016-236T21,19,0,18,1,
1850685205,6E4F3715,2016-236T22,23,0,22,0,
1850688805,6E4F4525,2016-236T23,20,0,15,0,
1850692405,6E4F5335,2016-237T00,21,0,29,0,
1850696005,6E4F6145,2016-237T01,22,0,14,0,
1850699605,6E4F6F55,2016-237T02,14,0,25,0,
1850703205,6E4F7D65,2016-237T03,14,0,20,1,
1850706805,6E4F8B75,2016-237T04,31,1,16,0,
1850710405,6E4F9985,2016-237T05,19,0,20,0,
1850714005,6E4FA795,2016-237T06,21,0,25,0,
1850717605,6E4FB5A5,2016-237T07,25,0,20,0,
1850721205,6E4FC3B5,2016-237T08,20,0,15,0,
1850724805,6E4FD1C5,2016-237T09,15,0,20,0,
1850728405,6E4FDFD5,2016-237T10,28,0,21,0,
1850732005,6E4FEDE5,2016-237T11,13,0,19,0,
1850735605,6E4FFBF5,2016-237T12,20,0,24,0,
1850739205,6E500A05,2016-237T13,23,1,24,0,
1850742805,6E501815,2016-237T14,24,0,17,0,
1850746405,6E502625,2016-237T15,25,0,18,0,
1850750005,6E503435,2016-237T16,20,0,22,0,
1850753605,6E504245,2016-237T17,15,0,22,0,
1850757205,6E505055,2016-237T18,24,0,21,0,
1850760805,6E505E65,2016-237T19,15,0,36,1,
1850764405,6E506C75,2016-237T20,16,0,18,0,
1850768005,6E507A85,2016-237T21,22,0,17,0,
1850771605,6E508895,2016-237T22,15,0,21,1,
1850775205,6E5096A5,2016-237T23,22,0,21,0,
1850778805,6E50A4B5,2016-238T00,21,0,19,0,
1850782405,6E50B2C5,2016-238T01,21,0,23,0,
1850786005,6E50C0D5,2016-238T02,24,0,22,0,
1850789605,6E50CEE5,2016-238T03,24,0,18,0,
1850793205,6E50DCF5,2016-238T04,27,0,20,0,
1850796805,6E50EB05,2016-238T05,15,0,18,0,
1850800405,6E50F915,2016-238T06,22,0,25,0,
1850804005,6E510725,2016-238T07,20,1,31,1,
1850807605,6E511535,2016-238T08,22,0,25,1,
1850811205,6E512345,2016-238T09,17,0,16,0,
1850814805,6E513155,2016-238T10,23,0,16,0,
1850818405,6E513F65,2016-238T11,16,0,25,0,
1850822005,6E514D75,2016-238T12,18,0,26,0,
1850825605,6E515B85,2016-238T13,24,1,27,0,APOAPSIS
1850829205,6E516995,2016-238T14,26,0,26,0,
1850832805,6E5177A5,2016-238T15,22,0,19,0,
1850836405,6E5185B5,2016-238T16,22,1,20,0,
1850840005,6E5193C5,2016-238T17,19,0,23,0,
1850843605,6E51A1D5,2016-238T18,21,0,20,0,
1850847205,6E51AFE5,2016-238T19,19,0,23,0,
1850850805,6E51BDF5,2016-238T20,17,1,34,0,
1850854405,6E51CC05,2016-238T21,20,0,30,2,
1850858005,6E51DA15,2016-238T22,29,0,22,0,
1850861605,6E51E825,2016-238T23,19,0,26,0,
1850865205,6E51F635,2016-239T00,20,0,21,0,
1850868805,6E520445,2016-239T01,22,0,17,0,
1850872405,6E521255,2016-239T02,21,0,16,0,
1850876005,6E522065,2016-239T03,24,0,28,0,
1850879605,6E522E75,2016-239T04,28,0,16,0,
1850883205,6E523C85,2016-239T05,28,0,31,1,
1850886805,6E524A95,2016-239T06,26,0,24,0,
1850890405,6E5258A5,2016-239T07,22,1,20,1,
1850894005,6E5266B5,2016-239T08,17,0,25,0,
1850897605,6E5274C5,2016-239T09,17,0,33,0,
1850901205,6E5282D5,2016-239T10,19,0,26,0,
1850904805,6E5290E5,2016-239T11,27,0,17,0,
1850908405,6E529EF5,2016-239T12,12,0,23,1,
1850912005,6E52AD05,2016-239T13,19,0,19,0,
1850915605,6E52BB15,2016-239T14,19,0,25,1,
1850919205,6E52C925,2016-239T15,25,0,19,0,
1850922805,6E52D735,2016-239T16,19,0,21,0,
1850926405,6E52E545,2016-239T17,20,1,20,0,
1850930005,6E52F355,2016-239T18,17,1,22,0,
1850933605,6E530165,2016-239T19,25,0,15,0,
1850937205,6E530F75,2016-239T20,15,0,15,1,
1850940805,6E531D85,2016-239T21,28,0,26,0,
1850944405,6E532B95,2016-239T22,31,0,22,0,
1850948005,6E5339A5,2016-239T23,26,0,18,0,
1850951605,6E5347B5,2016-240T00,17,0,20,1,
1850955205,6E5355C5,2016-240T01,21,0,15,0,
1850958805,6E5363D5,2016-240T02,18,0,20,0,
1850962405,6E5371E5,2016-240T03,18,0,20,0,
1850966005,6E537FF5,2016-240T04,19,0,19,0,
1850969605,6E538E05,2016-240T05,28,0,25,0,
1850973205,6E539C15,2016-240T06,28,0,25,0,
1850976805,6E53AA25,2016-240T07,16,1,24,0,
1850980405,6E53B835,2016-240T08,21,0,26,0,
1850984005,6E53C645,2016-240T09,26,0,26,0,
1850987605,6E53D455,2016-240T10,18,0,26,0,
1850991205,6E53E265,2016-240T11,18,0,23,1,
1850994805,6E53F075,2016-240T12,25,0,29,0,
1850998405,6E53FE85,2016-240T13,15,0,28,0,
1851002005,6E540C95,2016-240T14,22,0,34,0,
1851005605,6E541AA5,2016-240T15,26,1,27,0,
1851009205,6E5428B5,2016-240T16,14,0,24,0,
1851012805,6E5436C5,2016-240T17,20,1,28,0,
1851016405,6E5444D5,2016-240T18,18,0,30,0,
1851020005,6E5452E5,2016-240T19,14,0,30,1,
1851023605,6E5460F5,2016-240T20,16,0,28,0,
1851027205,6E546F05,2016-240T21,20,0,35,0,
1851030805,6E547D15,2016-240T22,16,0,28,0,
1851034405,6E548B25,2016-240T23,18,0,25,0,
1851038005,6E549935,2016-241T00,18,0,31,1,
1851041605,6E54A745,2016-241T01,20,1,36,0,
1851045205,6E54B555,2016-241T02,16,0,28,0,
1851048805,6E54C365,2016-241T03,18,0,31,0,
1851052405,6E54D175,2016-241T04,14,0,26,0,
1851056005,6E54DF85,2016-241T05,17,0,25,0,
1851059605,6E54ED95,2016-241T06,19,0,33,0,
1851063205,6E54FBA5,2016-241T07,17,1,40,0,
1851066805,6E5509B5,2016-241T08,19,0,32,1,
1851070405,6E5517C5,2016-241T09,19,0,30,0,
1851074005,6E5525D5,2016-241T10,22,0,23,0,
1851077605,6E5533E5,2016-241T11,26,0,24,0,
1851081205,6E5541F5,2016-241T12,17,0,25,0,
1851084805,6E555005,2016-241T13,23,0,25,0,
1851088405,6E555E15,2016-241T14,14,0,33,0,
1851092005,6E556C25,2016-241T15,23,0,35,0,
1851095605,6E557A35,2016-241T16,24,0,33,0,
1851099205,6E558845,2016-241T17,18,0,24,0,
1851102805,6E559655,2016-241T18,25,0,30,1,
1851106405,6E55A465,2016-241T19,17,0,24,0,
1851110005,6E55B275,2016-241T20,16,0,21,0,
1851113605,6E55C085,2016-241T21,20,0,28,1,
1851117205,6E55CE95,2016-241T22,20,0,19,0,
1851120805,6E55DCA5,2016-241T23,26,0,26,0,
1851124405,6E55EAB5,2016-242T00,27,0,26,0,
1851128005,6E55F8C5,2016-242T01,21,0,25,0,
1851131605,6E5606D5,2016-242T02,21,0,26,0,
1851135205,6E5614E5,2016-242T03,14,0,23,0,
1851138805,6E5622F5,2016-242T04,15,0,29,0,
1851142405,6E563105,2016-242T05,25,0,30,0,
1851146005,6E563F15,2016-242T06,23,0,28,0,
1851149605,6E564D25,2016-242T07,18,0,29,0,
1851153205,6E565B35,2016-242T08,26,0,27,0,
1851156805,6E566945,2016-242T09,16,0,26,0,
1851160405,6E567755,2016-242T10,18,0,29,0,
1851164005,6E568565,2016-242T11,26,0,29,0,
1851167605,6E569375,2016-242T12,24,0,23,0,
1851171205,6E56A185,2016-242T13,16,1,26,0,
1851174805,6E56AF95,2016-242T14,38,0,29,1,
1851178405,6E56BDA5,2016-242T15,26,0,27,0,
1851182005,6E56CBB5,2016-242T16,29,0,27,1,
1851185605,6E56D9C5,2016-242T17,25,0,27,0,
1851189205,6E56E7D5,2016-242T18,27,0,26,0,
1851192805,6E56F5E5,2016-242T19,16,1,29,0,
1851196405,6E5703F5,2016-242T20,21,0,35,1,
1851200005,6E571205,2016-242T21,18,0,26,0,
1851203605,6E572015,2016-242T22,19,0,35,0,
1851207205,6E572E25,2016-242T23,32,0,29,0,
1851210805,6E573C35,2016-243T00,24,0,25,0,
1851214405,6E574A45,2016-243T01,21,0,30,0,
1851218005,6E575855,2016-243T02,22,0,34,1,
1851221605,6E576665,2016-243T03,20,0,24,0,
1851225205,6E577475,2016-243T04,22,1,30,0,
1851228805,6E578285,2016-243T05,20,0,27,0,
1851232405,6E579095,2016-243T06,25,1,24,0,
1851236005,6E579EA5,2016-243T07,23,1,29,0,
1851239605,6E57ACB5,2016-243T08,25,0,27,0,
1851243205,6E57BAC5,2016-243T09,20,0,26,0,
1851246805,6E57C8D5,2016-243T10,16,0,27,0,
1851250405,6E57D6E5,2016-243T11,14,0,29,0,
1851254005,6E57E4F5,2016-243T12,17,0,32,1,
1851257605,6E57F305,2016-243T13,20,0,22,0,
1851261205,6E580115,2016-243T14,21,0,23,1,
1851264805,6E580F25,2016-243T15,16,1,30,0,
1851268405,6E581D35,2016-243T16,23,0,27,0,
1851272005,6E582B45,2016-243T17,20,0,26,0,
1851275605,6E583955,2016-243T18,24,0,28,0,
1851279205,6E584765,2016-243T19,24,0,32,0,
1851282805,6E585575,2016-243T20,18,0,42,0,
1851286405,6E586385,2016-243T21,24,0,26,0,
1851290005,6E587195,2016-243T22,2,0,2,0,
1851293605,6E587FA5,2016-243T23,21,0,28,0,
1851297205,6E588DB5,2016-244T00,21,0,26,0,
1851300805,6E589BC5,2016-244T01,16,0,27,0,
1851304405,6E58A9D5,2016-244T02,13,0,32,0,
1851308005,6E58B7E5,2016-244T03,25,0,25,0,
1851311605,6E58C5F5,2016-244T04,23,0,28,1,
1851315205,6E58D405,2016-244T05,18,0,27,0,
1851318805,6E58E215,2016-244T06,22,0,24,0,
1851322405,6E58F025,2016-244T07,20,0,20,0,
1851326005,6E58FE35,2016-244T08,21,0,13,0,
1851329605,6E590C45,2016-244T09,21,0,11,0,
1851333205,6E591A55,2016-244T10,32,0,17,0,
1851336805,6E592865,2016-244T11,24,0,10,0,
1851340405,6E593675,2016-244T12,30,1,11,0,PERIAPSIS
1851344005,6E594485,2016-244T13,22,0,16,0,
1851347605,6E595295,2016-244T14,26,0,18,0,
1851351205,6E5960A5,2016-244T15,22,0,12,0,
1851354805,6E596EB5,2016-244T16,27,0,23,0,
1851358405,6E597CC5,2016-244T17,21,0,19,0,
1851362005,6E598AD5,2016-244T18,25,0,12,0,
1851365605,6E5998E5,2016-244T19,32,0,12,0,
1851369205,6E59A6F5,2016-244T20,33,1,9,0,
1851372805,6E59B505,2016-244T21,25,0,14,0,
1851376405,6E59C315,2016-244T22,34,0,20,0,
1851380005,6E59D125,2016-244T23,24,0,14,0,
1851383605,6E59DF35,2016-245T00,26,0,8,0,
1851387205,6E59ED45,2016-245T01,30,0,9,0,
1851390805,6E59FB55,2016-245T02,30,0,8,0,
1851394405,6E5A0965,2016-245T03,27,1,19,0,
1851398005,6E5A1775,2016-245T04,30,0,21,0,
1851401605,6E5A2585,2016-245T05,31,1,18,0,
1851405205,6E5A3395,2016-245T06,23,0,8,0,
