1798485205,6B32B4D5,2014-363T18,28,0,6,0,,,,,,,,,,
1798488805,6B32C2E5,2014-363T19,20,0,8,0,,,,,,,,,,
1798492405,6B32D0F5,2014-363T20,31,0,20,0,,,,,,,,,,
1798496005,6B32DF05,2014-363T21,27,0,8,0,,,,,,,,,,
1798499605,6B32ED15,2014-363T22,27,0,13,0,,,,,,,,,,
1798503205,6B32FB25,2014-363T23,28,0,8,0,,,,,,,,,,
1798506805,6B330935,2014-364T00,25,0,12,0,,,,,,,,,,
1798510405,6B331745,2014-364T01,20,0,14,0,,,,,,,,,,
1798514005,6B332555,2014-364T02,21,0,6,0,,,,,,,,,,
1798517605,6B333365,2014-364T03,21,0,14,0,,,,,,,,,,
1798521205,6B334175,2014-364T04,22,1,13,1,,,,,,,,,,
1798524805,6B334F85,2014-364T05,26,0,14,0,,,,,,,,,,
1798528405,6B335D95,2014-364T06,21,0,9,0,,,,,,,,,,
1798532005,6B336BA5,2014-364T07,28,0,16,0,,,,,,,,,,
1798535605,6B3379B5,2014-364T08,21,0,14,0,,,,,,,,,,
1798539205,6B3387C5,2014-364T09,23,0,14,0,,,,,,,,,,
1798542805,6B3395D5,2014-364T10,31,0,7,0,,,,,,,,,,
1798546405,6B33A3E5,2014-364T11,27,0,10,0,,,,,,,,,,
1798550005,6B33B1F5,2014-364T12,25,0,8,0,,,,,,,,,,
1798553605,6B33C005,2014-364T13,21,0,15,0,,,,,,,,,,
1798557205,6B33CE15,2014-364T14,26,0,9,0,,,,,,,,,,
1798560805,6B33DC25,2014-364T15,22,0,14,0,,,,,,,,,,
1798564405,6B33EA35,2014-364T16,25,1,7,0,,,,,,,,,,
1798568005,6B33F845,2014-364T17,28,0,8,0,,,,,,,,,,
1798571605,6B340655,2014-364T18,20,0,14,0,,,,,,,,,,
1798575205,6B341465,2014-364T19,21,0,11,0,,,,,,,,,,
1798578805,6B342275,2014-364T20,21,0,18,0,,,,,,,,,,
1798582405,6B343085,2014-364T21,21,0,15,0,,,,,,,,,,
1798586005,6B343E95,2014-364T22,22,1,15,1,,,,,,,,,,
1798589605,6B344CA5,2014-364T23,23,0,11,0,,,,,,,,,,
1798593205,6B345AB5,2015-000T00,22,0,11,1,,,,,,,,,,
1798596805,6B3468C5,2015-000T01,22,0,11,0,,,,,,,,,,
1798600405,6B3476D5,2015-000T02,24,0,8,0,,,,,,,,,,
1798604005,6B3484E5,2015-000T03,24,0,9,0,,,,,,,,,,
1798607605,6B3492F5,2015-000T04,21,0,5,0,,,,,,,,,,
1798611205,6B34A105,2015-000T05,20,0,13,0,,,,,,,,,,
1798614805,6B34AF15,2015-000T06,30,0,8,0,,,,,,,,,,
1798618405,6B34BD25,2015-000T07,20,0,9,0,,,,,,,,,,
1798622005,6B34CB35,2015-000T08,25,0,9,0,,,,,,,,,,
1798625605,6B34D945,2015-000T09,23,0,16,0,,,,,,,,,,
1798629205,6B34E755,2015-000T10,26,0,10,0,,,,,,,,,,
1798632805,6B34F565,2015-000T11,26,0,10,0,,,,,,,,,,
1798636405,6B350375,2015-000T12,32,0,14,0,,,,,,,,,,
1798640005,6B351185,2015-000T13,19,0,11,0,,,,,,,,,,
1798643605,6B351F95,2015-000T14,21,0,3,0,,,,,,,,,,
1798647205,6B352DA5,2015-000T15,23,0,10,0,,,,,,,,,,
1798650805,6B353BB5,2015-000T16,33,0,9,0,,,,,,,,,,
1798654405,6B3549C5,2015-000T17,21,0,10,0,,,,,,,,,,
1798658005,6B3557D5,2015-000T18,22,0,10,0,,,,,,,,,,
1798661605,6B3565E5,2015-000T19,27,0,15,0,,,,,,,,,,
1798665205,6B3573F5,2015-000T20,30,0,12,0,,,,,,,,,,
1798668805,6B358205,2015-000T21,31,0,8,0,,,,,,,,,,
1798672405,6B359015,2015-000T22,23,1,7,0,,,,,,,,,,
1798676005,6B359E25,2015-000T23,20,0,10,0,,,,,,,,,,
1798679605,6B35AC35,2015-001T00,21,0,11,0,,,,,,,,,,
1798683205,6B35BA45,2015-001T01,20,0,14,0,,,,,,,,,,
1798686805,6B35C855,2015-001T02,28,0,9,0,,,,,,,,,,
1798690405,6B35D665,2015-001T03,22,0,7,0,,,,,,,,,,
1798694005,6B35E475,2015-001T04,26,1,5,0,,,,,,,,,,
1798697605,6B35F285,2015-001T05,26,0,7,0,,,,,,,,,,
1798701205,6B360095,2015-001T06,26,0,17,0,,,,,,,,,,
1798704805,6B360EA5,2015-001T07,36,0,11,0,,,,,,,,,,
1798708405,6B361CB5,2015-001T08,26,0,9,0,,,,,,,,,,
1798712005,6B362AC5,2015-001T09,17,1,4,1,,,,,,,,,,
1798715605,6B3638D5,2015-001T10,22,0,10,0,,,,,,,,,,
1798719205,6B3646E5,2015-001T11,22,0,10,0,,,,,,,,,,
1798722805,6B3654F5,2015-001T12,25,0,8,1,,,,,,,,,,
1798726405,6B366305,2015-001T13,19,0,10,0,,,,,,,,,,
1798730005,6B367115,2015-001T14,21,0,11,0,,,,,,,,,,
1798733605,6B367F25,2015-001T15,20,1,11,0,,,,,,,,,,
1798737205,6B368D35,2015-001T16,26,0,12,0,,,,,,,,,,
1798740805,6B369B45,2015-001T17,16,0,7,0,,,,,,,,,,
1798744405,6B36A955,2015-001T18,23,0,9,0,,,,,,,,,,
1798748005,6B36B765,2015-001T19,28,0,7,0,,,,,,,,,,
1798751605,6B36C575,2015-001T20,18,2,9,0,,,,,,,,,,
1798755205,6B36D385,2015-001T21,21,0,9,0,,,,,,,,,,
1798758805,6B36E195,2015-001T22,22,1,8,0,,,,,,,,,,
1798762405,6B36EFA5,2015-001T23,23,0,7,0,,,,,,,,,,
1798766005,6B36FDB5,2015-002T00,15,0,5,0,,,,,,,,,,
1798769605,6B370BC5,2015-002T01,22,0,9,0,,,,,,,,,,
1798773205,6B3719D5,2015-002T02,25,0,8,0,,,,,,,,,,
1798776805,6B3727E5,2015-002T03,22,0,11,0,,,,,,,,,,
1798780405,6B3735F5,2015-002T04,27,0,23,1,,,,,,,,,,
1798784005,6B374405,2015-002T05,27,0,11,0,,,,,,,,,,
1798787605,6B375215,2015-002T06,22,2,15,0,,,,,,,,,,
1798791205,6B376025,2015-002T07,18,0,10,0,,,,,,,,,,
1798794805,6B376E35,2015-002T08,22,0,13,0,,,,,,,,,,
1798798405,6B377C45,2015-002T09,25,0,9,0,,,,,,,,,,
1798802005,6B378A55,2015-002T10,18,0,19,1,,,,,,,,,,
1798805605,6B379865,2015-002T11,28,0,7,0,,,,,,,,,,
1798809205,6B37A675,2015-002T12,26,0,10,0,,,,,,,,,,
1798812805,6B37B485,2015-002T13,25,1,8,0,,,,,,,,,,
1798816405,6B37C295,2015-002T14,26,0,14,0,,,,,,,,,,
1798820005,6B37D0A5,2015-002T15,25,0,14,0,,,,,,,,,,
1798823605,6B37DEB5,2015-002T16,26,0,15,0,,,,,,,,,,
1798827205,6B37ECC5,2015-002T17,23,1,10,0,,,,,,,,,,
1798830805,6B37FAD5,2015-002T18,23,0,6,1,,,,,,,,,,
1798834405,6B3808E5,2015-002T19,19,1,10,0,,,,,,,,,,
1798838005,6B3816F5,2015-002T20,22,0,9,0,,,,,,,,,,
1798841605,6B382505,2015-002T21,26,0,12,0,,,,,,,,,,
1798845205,6B383315,2015-002T22,24,0,4,0,,,,,,,,,,
1798848805,6B384125,2015-002T23,22,0,12,0,,,,,,,,,,
