2004,99,1,891,21,10,0
2004,99,2,867,13,9,0
2004,99,3,661,16,8,1
2004,99,4,1327,11,7,0
2004,99,5,830,13,7,0
2004,99,6,1313,19,7,0
2004,99,7,931,18,12,0
2004,99,8,1325,10,11,0
2004,99,9,664,3,14,0
2004,99,10,423,24,13,1
2004,99,11,346,14,10,1
2004,99,12,1950,15,7,1
2004,99,13,106,23,10,0
2004,99,14,2045,12,8,0
2004,99,15,1755,7,7,0
2004,99,16,1521,20,13,0
2004,99,17,1379,24,7,0
2004,99,18,1184,10,10,0
2004,99,19,421,11,9,0
2004,99,20,1551,25,10,0
2004,99,21,1422,4,12,0
2004,99,22,1532,15,5,1
2004,99,23,1529,27,11,0
2004,100,0,1061,7,6,0
2004,100,1,591,17,13,0
2004,100,2,728,6,10,1
2004,100,3,797,11,11,0
2004,100,4,1305,14,18,0
2004,100,5,1130,8,10,0
2004,100,6,1323,8,13,0
2004,100,7,1690,26,12,0
2004,100,8,120,21,6,0
2004,100,9,1917,11,6,0
2004,100,10,1909,20,8,0
2004,100,11,1875,12,9,0
2004,100,12,287,17,13,0
2004,100,13,658,26,12,0
2004,100,14,1308,13,10,0
2004,100,15,1081,16,13,0
2004,100,16,1510,16,9,1
2004,100,17,1835,10,11,0
2004,100,18,1102,19,9,0
2004,100,19,980,20,14,0
2004,100,20,971,16,9,0
2004,100,21,1427,20,9,0
2004,100,22,1604,13,8,0
2004,100,23,1675,22,7,0
2004,101,0,2051,23,6,1
2004,101,1,1638,13,2,0
2004,101,2,1822,35,11,1
2004,101,3,1472,12,18,0
2004,101,4,1468,20,11,0
2004,101,5,1330,7,6,0
2004,101,6,1111,20,14,3
2004,101,7,802,20,11,1
2004,101,8,69,9,8,1
2004,101,9,1047,13,11,0
2004,101,10,630,17,9,0
2004,101,11,263,19,8,0
2004,101,12,106,19,12,0
2004,101,13,1280,20,14,0
2004,101,14,1447,24,9,1
2004,101,15,1123,13,8,0
2004,101,16,1321,13,3,0
2004,101,17,1423,13,6,1
2004,101,18,1078,21,12,1
2004,101,19,1276,13,12,0
2004,101,20,1969,6,7,0
2004,101,21,416,18,9,0
2004,101,22,273,27,11,0
2004,101,23,1885,25,11,1
2004,102,0,1763,16,4,0
2004,102,1,1264,23,16,0
2004,102,2,1272,19,4,0
2004,102,3,1524,18,6,0
2004,102,4,1916,8,12,0
2004,102,5,1796,18,3,0
2004,102,6,1743,26,5,0
2004,102,7,1358,5,14,0
2004,102,8,1345,24,9,0
2004,102,9,1244,19,15,0
2004,102,10,795,15,6,0
2004,102,11,1884,14,7,0
2004,102,12,1334,20,14,0
2004,102,13,2055,14,7,1
2004,102,14,1431,17,7,1
2004,102,15,1177,22,22,0
2004,102,16,3626,10,6,5
2004,102,17,2149,18,10,0
2004,102,18,842,23,15,0
2004,102,19,173,20,12,0
2004,102,20,1747,7,6,1
2004,102,21,1058,7,6,0
2004,102,22,1251,21,5,0
2004,102,23,1031,14,9,0
2004,103,0,1364,12,7,0
2004,103,1,1556,11,8,0
2004,103,2,1830,21,4,1
2004,103,3,1127,13,8,0
2004,103,4,1209,25,12,0
2004,103,5,1383,13,9,2
2004,103,6,1230,15,10,0
2004,103,7,1619,15,6,0
2004,103,8,1562,16,9,0
2004,103,9,678,10,7,0
2004,103,10,1444,14,6,0
2004,103,11,597,10,14,0
2004,103,12,246,17,7,0
2004,103,13,2016,21,7,0
2004,103,14,510,14,11,2
2004,103,15,748,5,11,1
2004,103,16,676,13,7,0
