Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,
1629436399,611F39EF,2009-233T04,31,0,19,0,
1629439999,611F47FF,2009-233T05,22,0,26,0,
1629443599,611F560F,2009-233T06,27,0,17,0,
1629447199,611F641F,2009-233T07,19,0,36,0,
1629450799,611F722F,2009-233T08,25,0,29,2,
1629454399,611F803F,2009-233T09,23,0,26,1,
1629457999,611F8E4F,2009-233T10,27,0,28,0,
1629461599,611F9C5F,2009-233T11,17,0,17,0,
1629465199,611FAA6F,2009-233T12,27,0,21,0,
1629468799,611FB87F,2009-233T13,32,0,24,0,
1629472399,611FC68F,2009-233T14,28,0,25,0,
1629475999,611FD49F,2009-233T15,23,2,15,0,
1629479599,611FE2AF,2009-233T16,24,0,20,0,
1629483199,611FF0BF,2009-233T17,20,0,15,0,
1629486799,611FFECF,2009-233T18,30,2,30,2,
1629490399,61200CDF,2009-233T19,17,0,16,0,
1629493999,61201AEF,2009-233T20,28,0,18,0,
1629497599,612028FF,2009-233T21,26,0,19,0,
1629501199,6120370F,2009-233T22,30,0,16,0,
1629504799,6120451F,2009-233T23,28,0,28,0,
1629508399,6120532F,2009-234T00,20,0,27,0,
1629511999,6120613F,2009-234T01,21,0,23,0,
1629515599,61206F4F,2009-234T02,19,0,23,0,
1629519199,61207D5F,2009-234T03,28,0,17,0,
1629522799,61208B6F,2009-234T04,23,1,32,0,
1629526399,6120997F,2009-234T05,26,0,20,1,
1629529999,6120A78F,2009-234T06,25,0,23,0,
1629533599,6120B59F,2009-234T07,36,1,33,1,
1629537199,6120C3AF,2009-234T08,23,0,25,0,
1629540799,6120D1BF,2009-234T09,22,0,28,1,
1629544399,6120DFCF,2009-234T10,22,0,23,0,
1629547999,6120EDDF,2009-234T11,28,0,26,0,
1629551599,6120FBEF,2009-234T12,25,0,30,0,
1629555199,612109FF,2009-234T13,27,0,25,0,
1629558799,6121180F,2009-234T14,23,0,20,0,
1629562399,6121261F,2009-234T15,36,0,20,0,
1629565999,6121342F,2009-234T16,26,1,27,0,
1629569599,6121423F,2009-234T17,21,0,23,0,
1629573199,6121504F,2009-234T18,28,0,22,0,
1629576799,61215E5F,2009-234T19,26,0,30,1,
1629580399,61216C6F,2009-234T20,26,0,17,0,
1629583999,61217A7F,2009-234T21,23,0,21,0,
1629587599,6121888F,2009-234T22,23,0,21,0,
1629591199,6121969F,2009-234T23,26,0,18,1,
1629594799,6121A4AF,2009-235T00,33,0,27,0,
1629598399,6121B2BF,2009-235T01,20,0,29,0,
1629601999,6121C0CF,2009-235T02,32,1,28,0,
1629605599,6121CEDF,2009-235T03,25,2,28,0,
1629609199,6121DCEF,2009-235T04,27,0,18,0,
1629612799,6121EAFF,2009-235T05,19,0,30,1,
1629616399,6121F90F,2009-235T06,21,0,22,0,
1629619999,6122071F,2009-235T07,28,0,24,0,
1629623599,6122152F,2009-235T08,29,0,24,0,
1629627199,6122233F,2009-235T09,26,0,19,0,
1629630799,6122314F,2009-235T10,22,0,32,0,
1629634399,61223F5F,2009-235T11,26,0,26,0,
1629637999,61224D6F,2009-235T12,32,1,24,0,
1629641599,61225B7F,2009-235T13,25,0,27,1,
1629645199,6122698F,2009-235T14,23,0,23,1,
1629648799,6122779F,2009-235T15,30,0,17,0,
1629652399,612285AF,2009-235T16,24,1,19,0,
1629655999,612293BF,2009-235T17,21,0,27,0,
1629659599,6122A1CF,2009-235T18,28,0,17,0,
1629663199,6122AFDF,2009-235T19,27,0,20,0,
1629666799,6122BDEF,2009-235T20,25,0,25,0,
1629670399,6122CBFF,2009-235T21,27,1,19,1,
1629673999,6122DA0F,2009-235T22,19,0,20,0,
1629677599,6122E81F,2009-235T23,27,0,18,0,
1629681199,6122F62F,2009-236T00,22,0,17,0,
1629684799,6123043F,2009-236T01,23,0,28,0,
1629688399,6123124F,2009-236T02,18,0,25,1,
1629691999,6123205F,2009-236T03,23,0,31,0,
1629695599,61232E6F,2009-236T04,19,0,29,1,
1629699199,61233C7F,2009-236T05,26,0,31,0,
1629702799,61234A8F,2009-236T06,31,0,19,0,
1629706399,6123589F,2009-236T07,24,0,23,0,
1629709999,612366AF,2009-236T08,21,0,14,0,
1629713599,612374BF,2009-236T09,39,1,20,0,
