Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,,
1579961599,5E2C4CFF,2008-025T13,26,0,52,7,-30.20491724,1319507.957
1466241604,57651244,2004-170T08,93,2,49,0,9.72139533,8012127.101
1481098804,5847C634,2004-342T07,16,0,48,7,2.1324322,3170863.284
1521260404,5AAC9774,2006-076T03,15,1,48,4,-6.33007674,1907774.325
1474456804,57E26CE4,2004-265T10,16,0,47,1,9.84433486,8100480.443
1484803204,58804C84,2005-019T04,50,1,47,0,-0.22632303,1674673.188
1489065604,58C15684,2005-068T12,331,6,47,0,5.87883559,211812.3705
1490836804,58DC5D44,2005-089T00,273,1,47,0,5.83781228,211653.4513
1534810804,5B7B5AB4,2006-232T23,39,0,47,1,-11.34814806,2007684.939
1560136804,5CFDCC64,2007-161T02,1499,16,46,2,-9.3672697,1284723.615
1518657604,5A84E044,2006-046T00,14,0,45,1,-6.33365626,3491372.235
1487298004,58A65DD4,2005-048T01,86,1,43,0,6.14691728,211015.7692
1498598404,5952CC04,2005-178T20,27,1,43,5,-10.10585164,910659.369
1554488404,5CA79C54,2007-095T17,1204,13,43,0,-47.73527613,1383535.256
1562887204,5D27C424,2007-192T22,3363,21,43,1,6.30983489,2792236.383
1575429199,5DE7244F,2007-338T02,64,0,43,0,4.04778006,705997.6726
1579191199,5E208B9F,2008-016T15,39,0,43,0,20.18421255,612896.4615
1490523604,58D795D4,2005-085T09,14,0,42,4,-4.84404179,1856113.701
1493724004,59086B64,2005-122T10,119,1,42,8,20.59454801,606526.6249
1574457199,5DD84F6F,2007-326T20,23,0,42,1,-0.20087085,2143163.026
1481739604,58518D54,2004-349T17,20,0,41,3,-2.72560038,533403.2198
1540534804,5BD2B214,2006-299T05,950,15,41,5,1.88344538,1076464.847
1548076804,5C45C704,2007-021T12,1312,20,39,1,,
1500067204,59693584,2005-195T20,37,1,38,0,,
1537600804,5BA5ED24,2006-265T06,76,0,38,4,,
1538738404,5BB748E4,2006-278T10,454,6,38,2,,
1541481604,5BE12484,2006-310T04,163,1,38,0,,
1527020404,5B047B74,2006-142T19,431,3,37,24,,
1539472804,5BC27DA4,2006-286T22,29,0,37,0,,
1539652804,5BC53CC4,2006-289T00,294,1,37,0,,
1569939604,5D936094,2007-274T13,526,10,37,0,,
1581181999,5E3EEC2F,2008-039T16,26,0,37,0,,
1582773199,5E5733CF,2008-058T02,21,0,37,1,,
1518430804,5A816A54,2006-043T09,17,1,36,3,,
1554074404,5CA14B24,2007-090T22,1506,14,36,0,,
1566627604,5D60D714,2007-236T05,955,12,36,7,,
1569345604,5D8A5044,2007-267T16,2000,18,36,1,,
1579515199,5E257D3F,2008-020T09,33,0,36,0,,
1487287204,58A633A4,2005-047T22,41,0,35,0,,
1538803204,5BB84604,2006-279T04,319,13,35,0,,
1579014799,5E1DDA8F,2008-014T14,38,0,35,0,,
1529281204,5B26FAB4,2006-168T23,39,0,34,3,,
1536510004,5B954834,2006-252T15,232,3,34,0,,
1552731604,5C8CCDD4,2007-075T09,1969,6,34,1,,
1552836004,5C8E65A4,2007-076T14,664,5,34,0,,
1580904799,5E3AB15F,2008-036T11,18,0,34,0,,
1482499204,585D2484,2004-358T12,22,0,33,0,,
1490991604,58DEB9F4,2005-090T19,312,9,33,4,,
1496456404,59321CD4,2005-154T01,19,0,33,0,,
1506201604,59C6D004,2005-266T20,161,1,33,0,,
1509528004,59F991C4,2005-305T08,38,0,33,0,,
1546744804,5C3173E4,2007-006T02,1480,10,33,0,,
1548552004,5C4D0744,2007-027T00,1795,13,33,0,,
1559301604,5CF10DE4,2007-151T10,845,13,33,0,,
1567257604,5D6A7404,2007-243T12,1360,8,33,2,,
1574662399,5DDB70FF,2007-329T05,26,1,33,1,,
1576458799,5DF6DA2F,2007-350T00,39,0,33,0,,
1577527999,5E072ABF,2007-362T09,34,0,33,1,,
1482859204,5862A2C4,2004-362T16,15,0,32,0,,
1498825204,595641F4,2005-181T11,20,0,32,0,,
1524705604,5AE12944,2006-116T00,21,0,32,2,,
1535592004,5B874644,2006-242T00,200,2,32,1,,
1537899604,5BAA7C54,2006-268T17,238,6,32,0,,
1544790004,5C139FF4,2006-348T11,1159,13,32,1,,
1551338404,5C778BA4,2007-059T06,1456,6,32,0,,
1556824804,5CCB42E4,2007-122T18,420,22,32,0,,
1560187204,5CFE9144,2007-161T16,92,16,32,0,,
1566498004,5D5EDCD4,2007-234T17,296,14,32,0,,
1578247999,5E12273F,2008-005T17,35,1,32,1,,
1582798399,5E57963F,2008-058T09,20,0,32,8,,
1478953204,582708F4,2004-317T11,28,0,31,0,,
1481703604,585100B4,2004-349T07,44,0,31,0,,
1493774404,59093044,2005-123T00,50,0,31,0,,
1495344004,59212384,2005-141T04,44,1,31,1,,
1502450404,598D92E4,2005-223T10,30,0,31,0,,
1504444804,59AC0184,2005-246T12,21,0,31,0,,
1538932804,5BBA4044,2006-280T16,47,1,31,12,,
1539775204,5BC71AE4,2006-290T10,181,2,31,0,,
1543260004,5BFC4764,2006-330T18,653,10,31,0,,
1544667604,5C11C1D4,2006-347T01,2449,24,31,0,,
1550060404,5C640B74,2007-044T11,1390,21,31,0,,
1561216804,5D0E4724,2007-173T14,1286,16,31,0,,
1562952004,5D28C144,2007-193T16,186,23,31,1,,
1565097604,5D497E84,2007-218T12,1487,10,31,2,,
1576653199,5DF9D18F,2007-352T06,38,0,31,0,,
1497147604,593CA8D4,2005-162T01,32,0,30,0,,
1513473604,5A35C644,2005-351T00,53,0,30,6,,
1522362004,5ABD6694,2006-088T21,21,0,30,0,,
1529022004,5B230634,2006-165T23,36,0,30,0,,
1533158404,5B622404,2006-213T20,26,0,30,0,,
1534814404,5B7B68C4,2006-233T00,37,1,30,0,,
1540128004,5BCC7D04,2006-294T12,808,4,30,0,,
1542676804,5BF36144,2006-324T00,510,10,30,13,,
1550726404,5C6E3504,2007-052T04,1928,1,30,0,,
1550996404,5C7253B4,2007-055T07,1794,26,30,2,,
1553307604,5C9597D4,2007-082T01,923,14,30,0,,
1568359204,5D7B4324,2007-256T06,1835,9,30,2,,
1572412399,5DB91BEF,2007-303T04,1977,16,30,0,,
1578561199,5E16EEAF,2008-009T08,39,0,30,0,,
1462148404,57269D34,2004-122T23,437,10,29,4,,
1479298804,582C4EF4,2004-321T11,25,0,29,0,,
1485188404,58862D34,2005-023T15,22,0,29,1,,
1495200004,591EF104,2005-139T12,8,0,29,1,,
1498490404,59512624,2005-177T14,31,0,29,0,,
1517959204,5A7A3824,2006-037T22,15,0,29,1,,
1525036804,5AE63704,2006-119T20,189,3,29,0,,
1526124004,5AF6CDE4,2006-132T10,169,0,29,0,,
1536801604,5B99BB44,2006-256T00,308,11,29,1,,
1537662004,5BA6DC34,2006-265T23,68,2,29,0,,
1540549204,5BD2EA54,2006-299T09,657,5,29,1,,
1540754404,5BD60BE4,2006-301T18,33,0,29,1,,
1541413204,5BE01954,2006-309T09,212,2,29,0,,
1545369604,5C1C7804,2006-355T04,506,35,29,0,,
1552818004,5C8E1F54,2007-076T09,665,22,29,0,,
1555312804,5CB430A4,2007-105T06,1658,21,29,1,,
1556569204,5CC75C74,2007-119T19,264,17,29,0,,
1559618404,5CF5E364,2007-155T02,798,9,29,1,,
1561191604,5D0DE4B4,2007-173T07,2076,15,29,0,,
1565130004,5D49FD14,2007-218T21,1625,25,29,1,,
1566012004,5D577264,2007-229T02,1539,10,29,0,,
1568301604,5D7A6224,2007-255T14,3035,7,29,0,,
1569590404,5D8E0C84,2007-270T12,920,11,29,2,,
1572243199,5DB686FF,2007-301T05,219,15,29,0,,
1576152799,5DF22EDF,2007-346T11,35,0,29,0,,
1579493599,5E2528DF,2008-020T03,34,0,29,0,,
1582985599,5E5A717F,2008-060T13,19,0,29,1,,
1493882404,590AD624,2005-124T06,10,0,28,2,,
1496917204,593924D4,2005-159T09,45,0,28,1,,
1497633604,59441344,2005-167T16,11,0,28,0,,
1501579204,598047C4,2005-213T08,18,1,28,0,,
1501608004,5980B844,2005-213T16,15,0,28,0,,
1508412004,59E88A64,2005-292T10,27,0,28,1,,
1509297604,59F60DC4,2005-302T16,24,0,28,2,,
1519910404,5A97FE04,2006-060T12,25,0,28,3,,
1520529604,5AA170C4,2006-067T16,11,0,28,0,,
1523755204,5AD2A8C4,2006-105T00,50,1,28,0,,
1525576804,5AEE7464,2006-126T02,87,1,28,0,,
1528431604,5B1A03F4,2006-159T03,46,0,28,0,,
1530051604,5B32BC14,2006-177T21,38,0,28,0,,
1538922004,5BBA1614,2006-280T13,35,0,28,0,,
1540124404,5BCC6EF4,2006-294T11,997,13,28,0,,
1540146004,5BCCC354,2006-294T17,951,15,28,0,,
1543652404,5C024434,2006-335T07,28,0,28,0,,
1545769204,5C2290F4,2006-359T19,1057,9,28,0,,
1546496404,5C2DA994,2007-003T05,382,14,28,1,,
1550053204,5C63EF54,2007-044T09,1632,21,28,0,,
1553692804,5C9B7884,2007-086T12,1199,4,28,0,,
1553750404,5C9C5984,2007-087T04,1008,17,28,0,,
1555302004,5CB40674,2007-105T03,1307,15,28,2,,
1555960804,5CBE13E4,2007-112T18,1308,20,28,0,,
1558250404,5CE103A4,2007-139T06,860,11,28,0,,
1559395204,5CF27B84,2007-152T12,1858,4,28,0,,
1559416804,5CF2CFE4,2007-152T18,2316,13,28,0,,
1559848804,5CF96764,2007-157T18,1309,12,28,1,,
1560309604,5D006F64,2007-163T02,1315,11,28,0,,
1563398404,5D2F9104,2007-198T20,2655,16,28,1,,
1565342404,5D4D3AC4,2007-221T08,551,23,28,0,,
1566253204,5D5B2094,2007-231T21,1599,14,28,0,,
1568193604,5D78BC44,2007-254T08,841,12,28,0,,
1569288004,5D896F44,2007-267T00,1157,12,28,1,,
1569482404,5D8C66A4,2007-269T06,926,13,28,0,,
1572318799,5DB7AE4F,2007-302T02,2396,23,28,0,,
1576411999,5DF6235F,2007-349T11,37,0,28,1,,
1579007599,5E1DBE6F,2008-014T12,35,0,28,0,,
1580407999,5E331CBF,2008-030T17,41,0,28,0,,
1582218799,5E4EBE2F,2008-051T16,38,0,28,0,,
1466526004,57696934,2004-173T15,184,3,27,0,,
1470025204,579ECDF4,2004-214T03,24,0,27,4,,
1480911604,5844EAF4,2004-340T03,13,0,27,1,,
1486192804,589580A4,2005-035T06,29,0,27,1,,
1500034804,5968B6F4,2005-195T11,28,0,27,0,,
1504380004,59AB0464,2005-245T18,19,0,27,1,,
1518211204,5A7E1084,2006-040T20,34,0,27,0,,
1518214804,5A7E1E94,2006-040T21,16,0,27,0,,
1519071604,5A8B3174,2006-050T19,19,0,27,1,,
1523283604,5ACB7694,2006-099T13,287,11,27,0,,
1524828004,5AE30764,2006-117T10,45,0,27,0,,
1526365204,5AFA7C14,2006-135T05,532,4,27,0,,
1528078804,5B14A1D4,2006-155T01,18,0,27,0,,
1528125604,5B1558A4,2006-155T14,22,0,27,0,,
1532010004,5B509E14,2006-200T13,106,3,27,1,,
1533241204,5B636774,2006-214T19,27,0,27,0,,
1533396004,5B65C424,2006-216T14,22,0,27,1,,
1533565204,5B685914,2006-218T13,74,1,27,0,,
1534022404,5B6F5304,2006-223T20,228,2,27,1,,
1540138804,5BCCA734,2006-294T15,1218,21,27,0,,
1540239604,5BCE30F4,2006-295T19,331,12,27,0,,
1542374404,5BEEC404,2006-320T12,1280,10,27,0,,
1542860404,5BF62E74,2006-326T03,835,6,27,0,,
1542889204,5BF69EF4,2006-326T11,1276,11,27,0,,
1544149204,5C09D8D4,2006-341T01,1505,9,27,0,,
1544937604,5C15E084,2006-350T04,2021,10,27,2,,
1545538804,5C1F0CF4,2006-357T03,217,13,27,0,,
1545906004,5C24A754,2006-361T09,1655,10,27,0,,
1546042804,5C26BDB4,2006-362T23,261,17,27,0,,
1546575604,5C2EDEF4,2007-004T03,157,19,27,0,,
1548296404,5C4920D4,2007-024T01,138,24,27,0,,
1549678804,5C5E38D4,2007-040T01,653,2,27,2,,
1549902004,5C61A0B4,2007-042T15,1284,12,27,0,,
1550413204,5C696D94,2007-048T13,645,26,27,0,,
1551032404,5C72E054,2007-055T17,1294,8,27,2,,
1551424804,5C78DD24,2007-060T06,258,12,27,0,,
1551774004,5C7E3134,2007-064T07,772,9,27,0,,
1554024004,5CA08644,2007-090T08,807,30,27,1,,
1554405604,5CA658E4,2007-094T18,2013,19,27,0,,
1555518004,5CB75234,2007-107T15,1318,17,27,0,,
1555644004,5CB93E64,2007-109T02,1241,6,27,1,,
1555892404,5CBD08B4,2007-111T23,1933,10,27,1,,
1556421604,5CC51BE4,2007-118T02,1871,4,27,0,,
1559244004,5CF02CE4,2007-150T18,2777,4,27,0,,
1559528404,5CF483D4,2007-154T01,717,16,27,0,,
1559794804,5CF89474,2007-157T03,994,11,27,0,,
1561375204,5D10B1E4,2007-175T10,1297,16,27,1,,
1562116804,5D1C02C4,2007-184T00,1501,20,27,0,,
1562725204,5D254B54,2007-191T01,1303,8,27,1,,
1566559204,5D5FCBE4,2007-235T10,1324,17,27,0,,
1567038004,5D671A34,2007-240T23,328,16,27,0,,
1567394404,5D6C8A64,2007-245T02,193,8,27,0,,
1568888404,5D835654,2007-262T09,1711,32,27,0,,
1569990004,5D942574,2007-275T03,2113,5,27,0,,
1571638399,5DAD4C7F,2007-294T05,509,14,27,0,,
1572462799,5DB9E0CF,2007-303T18,1001,21,27,0,,
1573621999,5DCB90EF,2007-317T04,44,0,27,0,,
1574316799,5DD62AFF,2007-325T05,28,0,27,0,,
1577535199,5E0746DF,2007-362T11,36,0,27,0,,
1579057999,5E1E834F,2008-015T02,38,0,27,0,,
1579173199,5E20454F,2008-016T10,37,0,27,1,,
1579219999,5E20FC1F,2008-016T23,40,0,27,0,,
1579878799,5E2B098F,2008-024T14,27,0,27,0,,
1582999999,5E5AA9BF,2008-060T17,15,0,27,0,,
1465694404,575CB8C4,2004-164T00,46,0,26,1,,
1473006004,57CC49B4,2004-248T15,18,0,26,7,,
1478366404,581E14C4,2004-310T16,29,1,26,3,,
1484828404,5880AEF4,2005-019T11,43,0,26,2,,
1487110804,58A38294,2005-045T21,23,0,26,0,,
1497432004,5940FFC4,2005-165T08,22,0,26,5,,
1513880404,5A3BFB54,2005-355T17,13,0,26,0,,
1514503204,5A457C24,2005-362T22,471,0,26,0,,
1515082804,5A4E5434,2006-004T15,29,0,26,2,,
1517451604,5A727954,2006-032T01,16,0,26,0,,
1517552404,5A740314,2006-033T05,40,0,26,2,,
1518096004,5A7C4E84,2006-039T12,53,4,26,0,,
1525220404,5AE90434,2006-121T23,30,0,26,0,,
1527945604,5B129984,2006-153T12,26,0,26,0,,
1530559204,5B3A7AE4,2006-183T18,35,0,26,6,,
1532290804,5B54E6F4,2006-203T19,62,0,26,0,,
1536135604,5B8F91B4,2006-248T07,98,3,26,0,,
1539566404,5BC3EB44,2006-288T00,262,7,26,0,,
1539750004,5BC6B874,2006-290T03,458,0,26,0,,
1541334004,5BDEE3F4,2006-308T11,180,1,26,0,,
1541614804,5BE32CD4,2006-311T17,57,0,26,0,,
1545873604,5C2428C4,2006-361T00,467,28,26,0,,
1546928404,5C344114,2007-008T05,1897,16,26,0,,
1549106404,5C557CE4,2007-033T10,672,17,26,0,,
1549171204,5C567A04,2007-034T04,1426,16,26,5,,
1549959604,5C6281B4,2007-043T07,368,13,26,2,,
1550856004,5C702F44,2007-053T16,479,14,26,0,,
1552800004,5C8DD904,2007-076T04,609,19,26,0,,
1553559604,5C997034,2007-084T23,1206,16,26,0,,
1554751204,5CAB9EE4,2007-098T18,413,12,26,1,,
1556148004,5CC0EF24,2007-114T22,893,7,26,2,,
1558138804,5CDF4FB4,2007-137T23,498,13,26,0,,
1558426804,5CE3B4B4,2007-141T07,1136,9,26,0,,
1558678804,5CE78D14,2007-144T05,1902,6,26,0,,
1558729204,5CE851F4,2007-144T19,3285,10,26,0,,
1559197204,5CEF7614,2007-150T05,716,11,26,0,,
1559712004,5CF75104,2007-156T04,950,15,26,0,,
1561422004,5D1168B4,2007-175T23,1388,12,26,0,,
1561490404,5D1273E4,2007-176T18,1233,12,26,0,,
1564395604,5D3EC854,2007-210T09,1740,18,26,0,,
1567005604,5D669BA4,2007-240T14,1243,24,26,0,,
1570112404,5D960394,2007-276T13,1649,26,26,0,,
1570159204,5D96BA64,2007-277T02,385,10,26,0,,
1571177599,5DA6447F,2007-288T21,1180,0,26,2,,
1571433199,5DAA2AEF,2007-291T20,1092,16,26,1,,
1571656399,5DAD92CF,2007-294T10,63,22,26,0,,
1572156799,5DB5357F,2007-300T05,706,15,26,1,,
1572451999,5DB9B69F,2007-303T15,414,28,26,1,,
1572606799,5DBC134F,2007-305T10,28,0,26,0,,
1573348399,5DC7642F,2007-314T00,37,0,26,1,,
1573420399,5DC87D6F,2007-314T20,38,0,26,0,,
1573531999,5DCA315F,2007-316T03,47,0,26,0,,
1574575999,5DDA1F7F,2007-328T05,22,0,26,0,,
1574619199,5DDAC83F,2007-328T17,18,0,26,0,,
1574957599,5DDFF21F,2007-332T15,32,0,26,0,,
1575036799,5DE1277F,2007-333T13,31,0,26,0,,
1576566799,5DF8800F,2007-351T06,30,0,26,0,,
1578391999,5E1459BF,2008-007T09,29,0,26,0,,
1578521599,5E1653FF,2008-008T21,33,0,26,1,,
1578575599,5E1726EF,2008-009T12,42,0,26,1,,
