 2017.316029, 2017, 115,   8.33,  107,    2.864,    0.889,   -0.328,    1.026, 6.2905E-004
 2017.316039, 2017, 115,   8.42,  106,    2.363,    0.935,   -0.253,    0.909, 8.7517E-005
 2017.316048, 2017, 115,   8.50,  107,    1.956,    0.974,   -0.176,    0.786, 6.5187E-007
 2017.316058, 2017, 115,   8.58,  107,    1.635,    1.006,   -0.098,    0.657, 1.3037E-006
 2017.316067, 2017, 115,   8.67,  106,    1.393,    1.030,   -0.019,    0.522, 0.0000E+000
 2017.316077, 2017, 115,   8.75,  107,    1.222,    1.042,    0.060,    0.381, 6.7925E-004
 2017.316086, 2017, 115,   8.83,  107,    1.113,    1.043,    0.138,    0.236, 5.0976E-004
 2017.316096, 2017, 115,   8.92,  106,    1.061,    1.031,    0.215,    0.088, 4.9812E-004
 2017.316105, 2017, 115,   9.00,  107,    1.064,    1.005,    0.288,   -0.061, 4.6804E-004
 2017.316115, 2017, 115,   9.08,  107,    1.125,    0.966,    0.358,   -0.210, 9.4195E-004
 2017.316124, 2017, 115,   9.17,  106,    1.250,    0.913,    0.423,   -0.355, 5.4681E-004
 2017.316134, 2017, 115,   9.25,  107,    1.451,    0.848,    0.482,   -0.496, 6.5187E-007
 2017.316143, 2017, 115,   9.33,  107,    1.745,    0.774,    0.536,   -0.631, 1.3037E-006
 2017.316153, 2017, 115,   9.42,  106,    2.148,    0.691,    0.584,   -0.758, 1.3160E-006
 2017.316162, 2017, 115,   9.50,  107,    2.680,    0.602,    0.627,   -0.879, 4.7130E-004
 2017.316172, 2017, 115,   9.58,  106,    3.350,    0.507,    0.665,   -0.992, 2.5992E-004
 2017.316181, 2017, 115,   9.67,  107,    4.153,    0.410,    0.698,   -1.098, 7.1706E-005
 2017.316191, 2017, 115,   9.75,  107,    5.065,    0.310,    0.727,   -1.198, 1.0430E-005
 2017.316201, 2017, 115,   9.83,  106,    6.017,    0.208,    0.752,   -1.291, 2.1057E-005
 2017.316210, 2017, 115,   9.92,  107,    6.937,    0.105,    0.774,   -1.379, 1.3689E-005
 2017.316220, 2017, 115,  10.00,   97,    7.726,    0.006,    0.792,   -1.458, 1.5280E-005
 2017.316229, 2017, 115,  10.08,   64,    8.386,   -0.099,    0.809,   -1.537, 1.8800E-005
 2017.316239, 2017, 115,  10.17,   64,    8.850,   -0.202,    0.823,   -1.609, 2.8608E-005
 2017.316248, 2017, 115,  10.25,   79,    9.139,   -0.306,    0.835,   -1.679, 2.2514E-005
 2017.316258, 2017, 115,  10.33,   80,    9.273,   -0.407,    0.845,   -1.744, 1.7655E-005
 2017.316267, 2017, 115,  10.42,   80,    9.299,   -0.508,    0.853,   -1.805, 2.6156E-005
 2017.316277, 2017, 115,  10.50,   80,    9.249,   -0.608,    0.860,   -1.863, 1.6348E-005
 2017.316286, 2017, 115,  10.58,   80,    9.151,   -0.707,    0.865,   -1.918, 2.0925E-005
 2017.316296, 2017, 115,  10.67,   80,    9.026,   -0.805,    0.870,   -1.970, 1.5694E-005
 2017.316305, 2017, 115,  10.75,   80,    8.890,   -0.902,    0.873,   -2.020, 2.2887E-005
 2017.316315, 2017, 115,  10.83,   80,    8.751,   -0.998,    0.875,   -2.068, 1.7002E-005
 2017.316324, 2017, 115,  10.92,   80,    8.617,   -1.093,    0.876,   -2.113, 1.9617E-005
 2017.316334, 2017, 115,  11.00,   80,    8.490,   -1.187,    0.877,   -2.156, 1.8309E-005
 2017.316343, 2017, 115,  11.08,   80,    8.373,   -1.280,    0.876,   -2.198, 2.5502E-005
 2017.316353, 2017, 115,  11.17,   80,    8.266,   -1.372,    0.875,   -2.237, 1.7655E-005
 2017.316362, 2017, 115,  11.25,   80,    8.169,   -1.463,    0.874,   -2.275, 2.0271E-005
 2017.316372, 2017, 115,  11.33,   80,    8.083,   -1.553,    0.871,   -2.312, 2.2887E-005
