date	daily_rate	gcr_component	normalized_rate
2021-09-03 12:00:00	2.0	1.4055395346810513	1.4229411202252986
2021-09-04 12:00:00	1.8	1.404879236741294	1.2812489165796297
2021-09-05 12:00:00	1.4	1.4042184811197707	0.9969958513034192
2021-09-06 12:00:00	1.0	1.4035572695595735	0.712475380725856
2021-09-07 12:00:00	1.0	1.4028956038049993	0.7128114146824276
2021-09-08 12:00:00	1.0	1.4022334856015428	0.7131479958710378
2021-09-09 12:00:00	1.2	1.4015709166958923	0.8561821494048393
2021-09-10 12:00:00	1.0	1.4009078988359234	0.7138228007929318
2021-09-11 12:00:00	0.8	1.4002444337706983	0.571328819958735
2021-09-12 12:00:00	1.2	1.3995805232504583	0.8573997566164023
2021-09-13 12:00:00	1.6	1.3989161690266185	1.1437425883162806
2021-09-14 12:00:00	2.0	1.3982513728517663	1.4303579734171499
2021-09-15 12:00:00	1.8	1.3975861364796538	1.2879349279565528
2021-09-16 12:00:00	2.2	1.396920461665196	1.574892816286401
2021-09-17 12:00:00	1.6	1.3962543501644618	1.1459230188335954
2021-09-18 12:00:00	1.6	1.3955878037346738	1.146470322912186
2021-09-19 12:00:00	1.8	1.3949208241342022	1.2903958195026746
2021-09-20 12:00:00	1.0	1.3942534131225603	0.7172297306846156
2021-09-21 12:00:00	1.4	1.393585572460397	1.004602822866685
2021-09-22 12:00:00	1.4	1.3929173039094969	1.0050847929526212
2021-09-23 12:00:00	1.8	1.3922486092327728	1.2928725430668069
2021-09-24 12:00:00	1.6	1.3915794901942626	1.1497726226021354
2021-09-25 12:00:00	1.0	1.3909099485591212	0.7189538050510929
2021-09-26 12:00:00	1.2	1.39023998609362	0.8631603262770712
2021-09-27 12:00:00	0.6	1.3895696045651411	0.43178837391723673
2021-09-28 12:00:00	0.6	1.3888988057421714	0.43199691548397884
2021-09-29 12:00:00	0.8	1.3882275913942976	0.5762743839405339
2021-09-30 12:00:00	0.2	1.3875559632922043	0.14413833048251776
2021-10-01 12:00:00	0.8	1.3868839232076673	0.5768327014345315
2021-10-02 12:00:00	1.0	1.3862114729135475	0.721390653258838
2021-10-03 12:00:00	1.2	1.38553861418379	0.8660891784000626
2021-10-04 12:00:00	1.2	1.3848653487934164	0.8665102358474902
2021-10-05 12:00:00	0.6	1.3841916785185222	0.4334659782394951
2021-10-06 12:00:00	0.4	1.3835176051362685	0.28911811350647926
2021-10-07 12:00:00	1.4	1.3828431304248825	1.0124069528912119
2021-10-08 12:00:00	1.8	1.3821682561636484	1.302301649580701
2021-10-09 12:00:00	1.8	1.381492984132906	1.3029382129868505
2021-10-10 12:00:00	2.6	1.380817316114042	1.8829427829867
2021-10-11 12:00:00	1.6	1.3801412538894902	1.1593016261856588
2021-10-12 12:00:00	1.8	1.379464799242723	1.3048538831785603
2021-10-13 12:00:00	2.2	1.378787953958249	1.5956043086133738
2021-10-14 12:00:00	1.8	1.3781107198216054	1.3061359832053319
2021-10-15 12:00:00	1.8	1.377433098619357	1.3067785301545278
2021-10-16 12:00:00	1.8	1.37675509213909	1.3074220754857035
2021-10-17 12:00:00	1.6	1.3760767021694047	1.16272588401328
2021-10-18 12:00:00	2.0	1.375397930499915	1.4541246250625528
2021-10-19 12:00:00	2.4	1.3747187789212416	1.7458116065624045
2021-10-20 12:00:00	2.6	1.3740392492250073	1.892231245553186
2021-10-21 12:00:00	3.4	1.373359343203831	2.475681267852546
2021-10-22 12:00:00	3.4	1.3726790626513257	2.476908180877262
2021-10-23 12:00:00	3.4	1.3719984093620927	2.4781369838328176
2021-10-24 12:00:00	3.6	1.3713173851317169	2.62521283477655
2021-10-25 12:00:00	2.8	1.370635991756759	2.042847274432951
2021-10-26 12:00:00	2.6	1.3699542310347563	1.8978736231473685
2021-10-27 12:00:00	2.6	1.3692721047642147	1.898819081286779
2021-10-28 12:00:00	2.0	1.3685896147446042	1.4613584513961293
2021-10-29 12:00:00	1.8	1.3679067627763533	1.3158791585668124
2021-10-30 12:00:00	1.2	1.3672235506608466	0.8776911423300021
2021-10-31 12:00:00	0.6	1.3665399802004194	0.4390650904425078
2021-11-01 12:00:00	1.2	1.36585605319835	0.8785698882323844
2021-11-02 12:00:00	1.4	1.365171771458859	1.0255119753200892
2021-11-03 12:00:00	2.0	1.3644871367871025	1.4657521834242508
2021-11-04 12:00:00	2.4	1.3638021509891687	1.7597860498014868
2021-11-05 12:00:00	1.6	1.3631168158720692	1.1737805457094168
2021-11-06 12:00:00	1.8	1.3624311332437398	1.321167695070558
2021-11-07 12:00:00	1.6	1.361745104913032	1.1749629165013111
2021-11-08 12:00:00	1.6	1.3610587326897101	1.1755554419301926
2021-11-09 12:00:00	2.0	1.3603720183844434	1.4701860762875503
2021-11-10 12:00:00	1.8	1.3596849638088062	1.323836070789343
2021-11-11 12:00:00	1.4	1.3589975707752688	1.0301710835298552
2021-11-12 12:00:00	1.8	1.3583098410971963	1.3251762930216433
2021-11-13 12:00:00	1.2	1.3576217765888385	0.8838986090920852
2021-11-14 12:00:00	1.8	1.3569333790653317	1.3265205409272611
2021-11-15 12:00:00	2.4	1.356244650342689	1.7695922335203904
2021-11-16 12:00:00	1.4	1.355555592237799	1.0327868572979957
2021-11-17 12:00:00	2.0	1.354866206568416	1.4761605170340537
2021-11-18 12:00:00	1.2	1.3541764951531614	0.8861474145320152
2021-11-19 12:00:00	1.2	1.3534864598115157	0.8865991907795738
2021-11-20 12:00:00	1.4	1.352796102363811	1.03489357897595
2021-11-21 12:00:00	1.0	1.352105424631233	0.7395872997645397
2021-11-22 12:00:00	1.0	1.3514144284358096	0.7399654606007476
2021-11-23 12:00:00	0.6	1.3507231156004111	0.4442065091432847
2021-11-24 12:00:00	0.8	1.3500314879487403	0.5925787710444688
2021-11-25 12:00:00	0.8	1.3493395473053325	0.592882645141189
2021-11-26 12:00:00	1.0	1.3486472954955482	0.7414837098921101
2021-11-27 12:00:00	1.2	1.3479547343455693	0.8902376091898951
2021-11-28 12:00:00	0.8	1.3472618656823923	0.5937969598766886
2021-11-29 12:00:00	0.8	1.3465686913338257	0.5941026292595372
2021-11-30 12:00:00	0.8	1.3458752131284855	0.594408747702843
2021-12-01 12:00:00	0.8	1.345181432895788	0.5947153152997589
2021-12-02 12:00:00	1.4	1.344487352465946	1.0412890812488769
2021-12-03 12:00:00	1.4	1.343792973669965	1.0418271470615974
2021-12-04 12:00:00	1.8	1.3430982983396382	1.340184856331954
2021-12-05 12:00:00	1.4	1.342403328307539	1.0429056383263569
2021-12-06 12:00:00	1.4	1.3417080654070197	1.0434460640849594
