	date	rate
1790	2008-11-25	2.090909090909091
1791	2008-11-26	2.0
1792	2008-11-27	2.0
1793	2008-11-28	2.272727272727273
1794	2008-11-29	2.272727272727273
1795	2008-11-30	2.1818181818181817
1796	2008-12-01	2.272727272727273
1797	2008-12-02	2.3636363636363638
1798	2008-12-03	2.1818181818181817
1799	2008-12-04	2.0
1800	2008-12-05	1.9090909090909092
1801	2008-12-06	2.0
1802	2008-12-07	1.9090909090909092
1803	2008-12-08	1.5454545454545454
1804	2008-12-09	1.6363636363636365
1805	2008-12-10	1.6363636363636365
1806	2008-12-11	1.7272727272727273
1807	2008-12-12	1.6363636363636365
1808	2008-12-13	1.7272727272727273
1809	2008-12-14	2.0
1810	2008-12-15	2.0
1811	2008-12-16	2.272727272727273
1812	2008-12-17	2.090909090909091
1813	2008-12-18	2.090909090909091
1814	2008-12-19	1.8181818181818181
1815	2008-12-20	2.1818181818181817
1816	2008-12-21	1.9090909090909092
1817	2008-12-22	1.7272727272727273
1818	2008-12-23	1.8181818181818181
1819	2008-12-24	1.4545454545454546
1820	2008-12-25	1.5454545454545454
1821	2008-12-26	1.3636363636363635
1822	2008-12-27	1.3636363636363635
1823	2008-12-28	1.2727272727272727
1824	2008-12-29	1.2727272727272727
1825	2008-12-30	0.9090909090909091
1826	2008-12-31	1.0
1827	2009-01-01	1.0
1828	2009-01-02	0.8181818181818182
1829	2009-01-03	0.9090909090909091
1830	2009-01-04	0.7272727272727273
1831	2009-01-05	0.6363636363636364
1832	2009-01-06	0.7272727272727273
1833	2009-01-07	0.8181818181818182
1834	2009-01-08	0.9090909090909091
1835	2009-01-09	1.0
1836	2009-01-10	0.8181818181818182
1837	2009-01-11	1.0909090909090908
1838	2009-01-12	1.0909090909090908
1839	2009-01-13	1.0
1840	2009-01-14	1.0
1841	2009-01-15	1.0909090909090908
1842	2009-01-16	1.0909090909090908
1843	2009-01-17	1.1818181818181819
1844	2009-01-18	1.0909090909090908
1845	2009-01-19	1.1818181818181819
1846	2009-01-20	1.4545454545454546
1847	2009-01-21	1.2727272727272727
1848	2009-01-22	1.4545454545454546
1849	2009-01-23	1.3636363636363635
1850	2009-01-24	1.5454545454545454
1851	2009-01-25	1.5454545454545454
1852	2009-01-26	1.5454545454545454
1853	2009-01-27	1.4545454545454546
1854	2009-01-28	1.5454545454545454
1855	2009-01-29	1.3636363636363635
1856	2009-01-30	1.2727272727272727
1857	2009-01-31	1.5454545454545454
1858	2009-02-01	1.6363636363636365
1859	2009-02-02	1.8181818181818181
1860	2009-02-03	1.8181818181818181
1861	2009-02-04	1.8181818181818181
1862	2009-02-05	2.0
1863	2009-02-06	2.0
1864	2009-02-07	1.9090909090909092
1865	2009-02-08	2.1818181818181817
1866	2009-02-09	2.0
1867	2009-02-10	1.8181818181818181
1868	2009-02-11	1.6363636363636365
1869	2009-02-12	1.5454545454545454
1870	2009-02-13	1.4545454545454546
1871	2009-02-14	1.4545454545454546
1872	2009-02-15	1.1818181818181819
1873	2009-02-16	1.1818181818181819
1874	2009-02-17	1.1818181818181819
1875	2009-02-18	1.0
1876	2009-02-19	1.1818181818181819
1877	2009-02-20	1.1818181818181819
1878	2009-02-21	1.1818181818181819
1879	2009-02-22	1.2727272727272727
1880	2009-02-23	1.2727272727272727
1881	2009-02-24	1.1818181818181819
1882	2009-02-25	1.3636363636363635
1883	2009-02-26	1.4545454545454546
1884	2009-02-27	1.4545454545454546
1885	2009-02-28	1.6363636363636365
1886	2009-03-01	1.5454545454545454
1887	2009-03-02	1.7272727272727273
1888	2009-03-03	1.7272727272727273
1889	2009-03-04	1.7272727272727273
1890	2009-03-05	2.0
1891	2009-03-06	2.1818181818181817
1892	2009-03-07	2.1818181818181817
1893	2009-03-08	2.090909090909091
1894	2009-03-09	2.1818181818181817
1895	2009-03-10	1.9090909090909092
1896	2009-03-11	2.0
1897	2009-03-12	1.7272727272727273
1898	2009-03-13	2.0
1899	2009-03-14	2.090909090909091
1900	2009-03-15	1.9090909090909092
1901	2009-03-16	1.7272727272727273
1902	2009-03-17	1.7272727272727273
1903	2009-03-18	1.7272727272727273
1904	2009-03-19	1.7272727272727273
1905	2009-03-20	2.090909090909091
1906	2009-03-21	1.9090909090909092
1907	2009-03-22	2.0
1908	2009-03-23	2.090909090909091
1909	2009-03-24	2.090909090909091
1910	2009-03-25	2.0
1911	2009-03-26	2.090909090909091
1912	2009-03-27	2.0
1913	2009-03-28	2.272727272727273
1914	2009-03-29	2.090909090909091
1915	2009-03-30	1.8181818181818181
1916	2009-03-31	2.0
1917	2009-04-01	2.272727272727273
1918	2009-04-02	2.272727272727273
1919	2009-04-03	2.3636363636363638
1920	2009-04-04	2.5454545454545454
1921	2009-04-05	2.6363636363636362
1922	2009-04-06	2.727272727272727
1923	2009-04-07	2.6363636363636362
1924	2009-04-08	2.8181818181818183
1925	2009-04-09	2.727272727272727
1926	2009-04-10	2.727272727272727
1927	2009-04-11	2.3636363636363638
1928	2009-04-12	2.3636363636363638
1929	2009-04-13	2.3636363636363638
1930	2009-04-14	2.3636363636363638
1931	2009-04-15	2.1818181818181817
1932	2009-04-16	2.5454545454545454
1933	2009-04-17	2.5454545454545454
1934	2009-04-18	2.3636363636363638
1935	2009-04-19	2.6363636363636362
